Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
504.38,70.38,CPH,AMS,2022-06-01 06:00,2022-06-01 07:25,UX3756,AMS,MAD,2022-06-01 11:05,2022-06-01 13:45,UX1098,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 12:20,2022-06-29 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 12:20,2022-06-28 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 15:00,2022-06-28 17:40,UX1093,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 13:00,2022-06-28 15:40,UX3765,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 13:00,2022-06-28 15:40,UX3765,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 16:50,2022-06-29 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 12:20,2022-06-29 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 11:05,2022-06-02 13:45,UX1098,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 11:05,2022-06-02 13:45,UX1098,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 11:05,2022-06-02 13:45,UX1098,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 12:20,2022-06-28 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 11:05,2022-06-02 13:45,UX1098,MAD,AMS,2022-06-28 15:00,2022-06-28 17:40,UX1093,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 11:05,2022-06-02 13:45,UX1098,MAD,AMS,2022-06-28 13:00,2022-06-28 15:40,UX3765,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 11:05,2022-06-02 13:45,UX1098,MAD,AMS,2022-06-28 13:00,2022-06-28 15:40,UX3765,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 11:05,2022-06-02 13:45,UX1098,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 16:50,2022-06-29 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 11:05,2022-06-02 13:45,UX1098,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 12:20,2022-06-29 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 07:40,2022-06-02 10:15,UX3766,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 07:40,2022-06-02 10:15,UX3766,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 07:40,2022-06-02 10:15,UX3766,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 12:20,2022-06-28 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 07:40,2022-06-02 10:15,UX3766,MAD,AMS,2022-06-28 15:00,2022-06-28 17:40,UX1093,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 07:40,2022-06-02 10:15,UX3766,MAD,AMS,2022-06-28 13:00,2022-06-28 15:40,UX3765,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 07:40,2022-06-02 10:15,UX3766,MAD,AMS,2022-06-28 13:00,2022-06-28 15:40,UX3765,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 07:40,2022-06-02 10:15,UX3766,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 16:50,2022-06-29 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 07:40,2022-06-02 10:15,UX3766,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 12:20,2022-06-29 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 09:45,2022-06-02 12:15,UX3768,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 09:45,2022-06-02 12:15,UX3768,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 09:45,2022-06-02 12:15,UX3768,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 12:20,2022-06-28 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 09:45,2022-06-02 12:15,UX3768,MAD,AMS,2022-06-28 15:00,2022-06-28 17:40,UX1093,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 09:45,2022-06-02 12:15,UX3768,MAD,AMS,2022-06-28 13:00,2022-06-28 15:40,UX3765,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 09:45,2022-06-02 12:15,UX3768,MAD,AMS,2022-06-28 13:00,2022-06-28 15:40,UX3765,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 09:45,2022-06-02 12:15,UX3768,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 16:50,2022-06-29 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 14:10,2022-06-01 15:35,UX3757,AMS,MAD,2022-06-02 09:45,2022-06-02 12:15,UX3768,MAD,AMS,2022-06-28 20:25,2022-06-28 23:00,UX3769,AMS,CPH,2022-06-29 12:20,2022-06-29 13:40,UX3786
No flights for search set: ('CPH', 'AUH', '2022-07-01', '2022-07-28')
No flights for search set: ('CPH', 'FUE', '2023-04-04', '2023-04-21')
No flights for search set: ('MAD', 'FUE', '2023-03-09', '2023-03-11')
1853.38,419.38,JFK,MAD,2022-08-15 22:05,2022-08-16 11:10,UX92,MAD,AUH,2022-08-16 14:00,2022-08-16 23:40,UX2703,AUH,MAD,2022-08-26 07:30,2022-08-26 12:30,UX2702,MAD,JFK,2022-08-26 15:50,2022-08-26 18:05,UX91
504.38,70.38,CPH,AMS,2022-09-01 06:00,2022-09-01 07:25,UX3756,AMS,MAD,2022-09-01 19:10,2022-09-01 21:50,UX1094,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 16:50,2022-09-20 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 06:00,2022-09-01 07:25,UX3756,AMS,MAD,2022-09-01 19:10,2022-09-01 21:50,UX1094,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 06:00,2022-09-01 07:25,UX3756,AMS,MAD,2022-09-01 19:10,2022-09-01 21:50,UX1094,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 12:20,2022-09-20 13:40,UX3786
